ID	SENTIMENT	TEXT
184_ 5	positive	Creative Media Source is very easy to use once you get the hang of it, and the file transfers are fast.
166_ 46	positive	This model appears to be especially good.
132_ 194	neutral	 I was quite happy after months of saving part of my pay-check to go to the store and finally get an iPod.
228_ 10	positive	Further, the tech specs suggest that it has better audio quality than the Ipod.
301_ 1	neutral	I wish I'd done some research first....
213_ 21	negative	It has the odd side effect of the buttons only partially working?
280_ 5	negative	I am glad that I do not work for Norton.
132_ 504	neutral	  I use mine mostly at the gym, so this is fantastic for me.
32_ 14	neutral	And there are two more advantages to digital photography  which I hadn't anticipated, beyond the lack of film and developing.
273_ 3	negative	There is no way you can talk with customer care about this.
27_ 1	positive	The S100's image quality rates in the middle of its class, but it can still be a reasonable choice for students, families, or small businesses looking for an ultra-portable camera that weighs less than half a pound with media and battery pack.
106_ 9	negative	With the PlungeLIFT all my bit changing has been done above the table, although I still have to reach below the table to operate the spindle lock (and, of course, the speed and ON/OFF controls).
268_ 22	neutral	I'm used to having to restart things.
81_ 2	negative	We found that when you put a dirty diaper into the top loader, there was a tendency to get streaks which would then get on the plunger which would then have to get cleaned each time it was used.
87_ 2	positive	I can't smell anything (and believe me, this is quite something with my baby).
179_ 8	neutral	Then, the hardest bit was to figure out how to disable the router and the DHCP services so that all computers woul!
7_ 0	neutral	I have used many digital cameras.
183_ 25	negative	I have trashed this product on other opinion sites based on this major flaw alone.
108_ 1	neutral	The deal Amazon has going can't be beat and if you're considering buying this machine, do so from this site.
38_ 0	positive	I was looking for something that wasn't too complicated to use and to help the pics I post on Ebay show more detial.
36_ 19	neutral	9- Cons? Not a single one after 5 months.
132_ 96	neutral	12 hours is about average, and it has an AC adapter in the box, with quick charge (2 hours) at probably 80%... and 4 hours for a full charge.
155_ 5	neutral	Expect about 10MBps and not more though!
135_ 23	neutral	If you have a Mac, I don't think you should totally discount this product.
281_ 0	neutral	I have used Norton products in the past and I am familiar with them.
166_ 13	neutral	In some cases, you can't even get your PC to the MS patch site to download XP security patch #2 before being hit.
224_ 3	negative	(It had locked up multiple times previously, but always managed to work afterwards) This time, the touch screen wouldn't respond to me and none of the buttons worked.
302_ 3	positive	The popup blocker and anti-spam are bonuses.
246_ 7	positive	The camera and video functionality is decent, I can't see myself wasting my time with it, but some people will.
